,p_value,sidak_cor_pval,holm-sidak_cor_pval,holm_cor_pval,simes-hochberg_cor_pval,hommel_cor_pval,fdr_bh_cor_pval,fdr_by_cor_pval,fdr_tsbh_cor_pval,fdr_tsbky_cor_pval,log2FC
Igh,8.634097866032184e-08,0.0018833931952992877,0.0017205027887772228,0.0017219844784014586,0.0017217254554654777,0.0015171836770191754,9.953373432256954e-07,1.0519185119612768e-05,4.3849729341797036e-07,4.6535234649547595e-07,0.0363134381655
Hcfc2,8.742706735818059e-05,0.851766424665558,0.7667686284764597,1.0,0.5,0.49958008505637935,0.00036772231170687105,0.0038862593630021327,0.00016200059156858078,0.00017192205414193052,0.0199626848084
Ccdc112,1.0729514426665202e-11,2.342684951583962e-07,2.305238906430418e-07,2.3052361745690185e-07,2.305128879424752e-07,2.250515650993026e-07,6.657274421873246e-10,7.035715329317093e-09,2.932871790052155e-10,3.1124907495614304e-10,0.0774910214803
EG635895,7.292463532863247e-07,0.015796279848301453,0.013942800507224296,0.014040909286174895,0.014040909286174895,0.011535218816283084,6.165232027819983e-06,6.51570218352577e-05,2.7161018079875617e-06,2.882445042740184e-06,0.0649431323301
Srp72,0.35391371602809596,1.0,1.0,1.0,0.5,0.5,0.38996393071086655,1.0,0.1717991687051308,0.18232072918794526,0.000477231840977
Ceacam15,0.0038690725546019844,1.0,1.0,1.0,0.5,0.5,0.00944502923206064,0.09981943471568423,0.004161021168049432,0.004415856137391144,-0.0290582235672
4930578N16Rik,2.668328190248288e-09,5.825858144625773e-05,5.537428251600751e-05,5.5375814932222714e-05,5.537047827584222e-05,5.199771144336839e-05,5.3508989115239474e-08,5.655077305171661e-07,2.357346186220979e-08,2.5017180167961716e-08,0.0541281152481
Ccdc64,0.02945792402381497,1.0,1.0,1.0,0.5,0.5,0.052103652998883074,0.5506554888487064,0.0229543390215378,0.024360140156540182,0.0114678215061
Aspg,0.014678193033276048,1.0,1.0,1.0,0.5,0.5,0.029217382250759285,0.30878280082427734,0.012871759634975432,0.013660069604926989,0.0102180998784
Efcab5,0.32286112112558757,1.0,1.0,1.0,0.5,0.5,0.3637881308690477,1.0,0.1602673825606563,0.17008269756912733,-0.00299481511906
Bclp2,0.16617718274077142,1.0,1.0,1.0,0.5,0.5,0.21604124618567372,1.0,0.09517728071173379,0.10100625836713273,-0.00660569930781
Sprr2e,0.00019797710859892378,0.9867407537103821,0.9577347231200319,1.0,0.5,0.5,0.0007371464443331917,0.007790504356116468,0.0003247509227828603,0.0003446397645139532,0.0554121029779
3110006E14Rik,0.452272730922366,1.0,1.0,1.0,0.5,0.5,0.4663705187631983,1.0,0.20546020060379247,0.21804327620163985,-0.0012890856341
Krtap2-4,0.35206605727303375,1.0,1.0,1.0,0.5,0.5,0.3884290194289752,1.0,0.17112296133953064,0.1816031086027719,0.00357436698832
Olfr239,0.1978129903095336,1.0,1.0,1.0,0.5,0.5,0.24787255607769504,1.0,0.10920060991624754,0.11588842354569566,0.0066019748127
