,p_value
path:mmu03008,0.0613345085511
path:mmu04650,0.243270659467
path:mmu04623,0.203152088475
path:mmu04640,0.15261319258
path:mmu04710,0.0916485319208
path:mmu04713,0.374391554154
path:mmu04622,0.340758143405
path:mmu04066,0.369537533913
path:mmu03410,0.169131779365
path:mmu05205,0.452532208247
path:mmu04062,0.375771616318
path:mmu04914,0.191121304783
path:mmu04060,0.105850911221
path:mmu00750,0.321444150981
path:mmu05206,0.47551058929
path:mmu00240,0.341985187879
path:mmu05213,0.116003098298
path:mmu00592,0.574571425902
path:mmu00591,0.0936819088898
path:mmu00590,0.0506644859135
path:mmu00052,0.0366904261378
path:mmu00053,0.236642758422
path:mmu05215,0.269666589782
path:mmu00051,0.265292269914
path:mmu05219,0.437907122206
path:mmu04550,0.0942436344135
path:mmu00982,0.130432404713
path:mmu00190,0.0119956388607
path:mmu00450,0.391345998987
path:mmu01522,1.0
path:mmu00512,0.0312423917002
path:mmu00511,0.568054502486
path:mmu00510,0.547082556907
path:mmu00514,0.606100830764
path:mmu04971,0.233327451819
path:mmu04970,0.315969756072
path:mmu04973,0.073189323663
path:mmu04972,0.171623313203
path:mmu04975,0.260333015502
path:mmu04974,0.227380489689
path:mmu04977,0.362112535936
path:mmu00062,0.637887464059
path:mmu04978,0.442489642657
path:mmu05412,0.514450926097
path:mmu05321,0.486283892204
path:mmu05416,0.094741509076
path:mmu00100,0.291162845652
path:mmu04071,0.158902854641
path:mmu04072,0.462135659658
path:mmu04621,0.437504295485
path:mmu01212,1.0
path:mmu04380,0.362721863126
path:mmu01210,1.0
path:mmu00250,0.3382831636
path:mmu05161,0.148314592498
path:mmu00740,0.567057836441
path:mmu05200,0.197706698031
path:mmu05202,0.0218198518539
path:mmu05203,0.0760618199936
path:mmu00310,0.375787352471
path:mmu00061,0.569882873701
path:mmu05166,0.505820546644
path:mmu04540,0.15261319258
path:mmu05160,0.0501260479248
path:mmu04270,0.213347577607
path:mmu05162,0.414073272089
path:mmu05014,0.458702296888
path:mmu05016,0.00938754316338
path:mmu05169,0.338165741431
path:mmu05010,0.0186468337973
path:mmu05012,0.0028343750093
path:mmu01521,1.0
path:mmu00500,0.437907122206
path:mmu05212,0.250275621343
path:mmu05332,0.00182609699112
path:mmu04144,0.433987706783
path:mmu04390,0.0111221295151
path:mmu04962,0.0167570801765
path:mmu04720,0.1331450599
path:mmu04960,0.250900145144
path:mmu04961,0.298501752514
path:mmu04966,0.512967850804
path:mmu04964,0.428811503723
path:mmu03060,0.0330767424795
path:mmu00830,0.283638425228
path:mmu00380,0.375787352471
path:mmu04392,0.397450109675
path:mmu05164,0.506489619023
path:mmu05168,0.219573055075
path:mmu01200,1.0
path:mmu04924,0.35824322536
path:mmu04630,0.382937951193
path:mmu00770,0.0776510049121
path:mmu04931,0.42487113354
path:mmu00071,0.136392882175
path:mmu00072,0.562334735786
path:mmu04530,0.0140742838455
path:mmu00300,0.753064742768
path:mmu00471,0.653483304452
path:mmu00472,0.132197662961
path:mmu04330,0.524557205902
path:mmu00220,0.262895505268
path:mmu04930,0.317765336989
path:mmu04068,0.496216007814
path:mmu04080,0.0522520539318
path:mmu00670,0.431945497506
path:mmu04064,0.346308824272
path:mmu04721,0.270766272556
path:mmu04722,0.345602308752
path:mmu04723,0.562932594372
path:mmu04724,0.493912140688
path:mmu04725,0.137904557019
path:mmu04726,0.232087654962
path:mmu04350,0.314632017597
path:mmu04728,0.386255986277
path:mmu04917,0.233327451819
path:mmu03460,0.0741373719224
path:mmu05211,0.35824322536
path:mmu04727,0.42075922595
path:mmu05217,0.279994428537
path:mmu00760,0.254401152755
path:mmu00920,0.169154490961
path:mmu05210,0.0655923438501
path:mmu04152,0.15380805703
path:mmu04151,0.306280946532
path:mmu04150,0.360811509609
path:mmu00360,0.213355957715
path:mmu03050,0.291225525953
path:mmu05221,0.141074995528
path:mmu04310,0.488845393057
path:mmu00330,0.291225525953
path:mmu05143,0.608601892207
path:mmu05142,0.268894214612
path:mmu04014,0.206952593314
path:mmu04015,0.30772998142
path:mmu04012,0.549066202835
path:mmu00480,0.534586307022
path:mmu04010,0.317340742502
path:mmu05144,0.218863359492
path:mmu05033,0.272319095493
path:mmu05032,0.160193870467
path:mmu05031,0.504335422733
path:mmu05030,0.398045249844
path:mmu00232,0.42695794709
path:mmu05216,0.281105307138
path:mmu00230,0.389770553663
path:mmu05034,0.382937951193
path:mmu00562,0.164352720994
path:mmu00563,0.425428574099
path:mmu00561,0.298501752514
path:mmu00564,0.180345597877
path:mmu00565,0.562092877785
path:mmu05204,0.523649181256
path:mmu00640,0.399184581201
path:mmu00400,0.370467385962
path:mmu05322,0.417115547815
path:mmu05223,0.576785688538
path:mmu05224,0.134638564532
path:mmu05218,0.208123139917
path:mmu03320,0.471303815691
path:mmu03450,0.241582019881
path:mmu04614,0.37322316318
path:mmu04610,0.134146731298
path:mmu04611,0.280367590766
path:mmu04612,0.299683860976
path:mmu00910,0.605559785361
path:mmu04140,0.127446372973
path:mmu04141,0.00190784951727
path:mmu04142,0.0545118689594
path:mmu00280,0.416760258219
path:mmu03040,0.00598295813957
path:mmu04145,0.413308728533
path:mmu04146,0.15261319258
path:mmu05340,0.499651338287
path:mmu00010,0.175265232642
path:mmu04514,0.0525593709049
