	83078511	83078629	Gm24884	predicted gene, 24884 [Source:MGI Symbol;Acc:MGI:5454661]	ENSMUSG00000089409
	81338274	81338404	Gm25803	predicted gene, 25803 [Source:MGI Symbol;Acc:MGI:5455580]	ENSMUSG00000077607
	86043394	86043494	Gm25811	predicted gene, 25811 [Source:MGI Symbol;Acc:MGI:5455588]	ENSMUSG00000064687
	86509152	86509225	Gm26017	predicted gene, 26017 [Source:MGI Symbol;Acc:MGI:5455794]	ENSMUSG00000077597
	83285804	83285910	Gm23412	predicted gene, 23412 [Source:MGI Symbol;Acc:MGI:5453189]	ENSMUSG00000096801
	82061112	82061221	Gm22402	predicted gene, 22402 [Source:MGI Symbol;Acc:MGI:5452179]	ENSMUSG00000092661
	74635214	74635351	Gm26379	predicted gene, 26379 [Source:MGI Symbol;Acc:MGI:5456156]	ENSMUSG00000099334
	74044388	74045183	Gm11760	predicted gene 11760 [Source:MGI Symbol;Acc:MGI:3651479]	ENSMUSG00000081048
	74228197	74229752	Gm11405	predicted gene 11405 [Source:MGI Symbol;Acc:MGI:3651226]	ENSMUSG00000083767
increased circulating serum albumin level	74242497	74405860	Kdm4c	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	ENSMUSG00000028397
increased circulating calcium level	74242497	74405860	Kdm4c	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	ENSMUSG00000028397
increased B cell number	74242497	74405860	Kdm4c	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	ENSMUSG00000028397
decreased hematocrit	74242497	74405860	Kdm4c	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	ENSMUSG00000028397
decreased hemoglobin content	74242497	74405860	Kdm4c	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	ENSMUSG00000028397
decreased body weight	74242497	74405860	Kdm4c	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	ENSMUSG00000028397
decreased body weight	74242497	74405860	Kdm4c	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	ENSMUSG00000028397
decreased thermal nociceptive threshold	74242497	74405860	Kdm4c	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	ENSMUSG00000028397
decreased thermal nociceptive threshold	74242497	74405860	Kdm4c	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	ENSMUSG00000028397
decreased lactate dehydrogenase level	74242497	74405860	Kdm4c	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	ENSMUSG00000028397
enlarged sebaceous gland	74242497	74405860	Kdm4c	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	ENSMUSG00000028397
eyelids fail to open	74242497	74405860	Kdm4c	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	ENSMUSG00000028397
abnormal iris morphology	74242497	74405860	Kdm4c	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	ENSMUSG00000028397
decreased NK cell number	74242497	74405860	Kdm4c	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	ENSMUSG00000028397
decreased hemoglobin content	74242497	74405860	Kdm4c	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	ENSMUSG00000028397
abnormal behavior	74242497	74405860	Kdm4c	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	ENSMUSG00000028397
decreased mean corpuscular hemoglobin	74242497	74405860	Kdm4c	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	ENSMUSG00000028397
abnormal respiratory quotient	74242497	74405860	Kdm4c	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	ENSMUSG00000028397
other aberrant phenotype	74242497	74405860	Kdm4c	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	ENSMUSG00000028397
abnormal pupil morphology	74242497	74405860	Kdm4c	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	ENSMUSG00000028397
abnormal placement of pupils	74242497	74405860	Kdm4c	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	ENSMUSG00000028397
decreased hematocrit	74242497	74405860	Kdm4c	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	ENSMUSG00000028397
abnormal blastocyst formation	74242497	74405860	Kdm4c	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	ENSMUSG00000028397
histone H3-K9 demethylation	74242497	74405860	Kdm4c	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	ENSMUSG00000028397
negative regulation of gene expression epigenetic	74242497	74405860	Kdm4c	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	ENSMUSG00000028397
	74250324	74251714	A230083N12Rik	RIKEN cDNA A230083N12 gene [Source:MGI Symbol;Acc:MGI:3698879]	ENSMUSG00000085482
	86817794	86818577	Gm12630	predicted gene 12630 [Source:MGI Symbol;Acc:MGI:3650968]	ENSMUSG00000082969
preweaning lethality complete penetrance	86748555	86850603	Dennd4c	DENN/MADD domain containing 4C [Source:MGI Symbol;Acc:MGI:1914769]	ENSMUSG00000038024
preweaning lethality complete penetrance	86748555	86850603	Dennd4c	DENN/MADD domain containing 4C [Source:MGI Symbol;Acc:MGI:1914769]	ENSMUSG00000038024
